"","rules","support","lift"
"119","maint=med,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"120","class=unacc => maint=med,persons=2","0.0833333333333333","1.42809917355372"
"121","maint=med,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"122","class=unacc => maint=med,safety=low","0.0833333333333333","1.42809917355372"
"123","maint=vhigh,persons=2 => class=unacc","0.0833333333333333","1.42809917355372"
"124","class=unacc => maint=vhigh,persons=2","0.0833333333333333","1.42809917355372"
"125","maint=vhigh,safety=low => class=unacc","0.0833333333333333","1.42809917355372"
"126","class=unacc => maint=vhigh,safety=low","0.0833333333333333","1.42809917355372"
"127","persons=4,safety=high => class=acc","0.0625","2.53125"
"128","class=acc => persons=4,safety=high","0.0625","2.53125"
"129","class=acc,persons=4 => safety=high","0.0625","1.63636363636364"
"130","safety=high => class=acc,persons=4","0.0625","1.63636363636364"
"131","class=acc,safety=high => persons=4","0.0625","1.58823529411765"
"132","persons=4 => class=acc,safety=high","0.0625","1.58823529411765"
"133","buying=high,maint=vhigh => class=unacc","0.0625","1.42809917355372"
"134","class=unacc => buying=high,maint=vhigh","0.0625","1.42809917355372"
"135","buying=vhigh,maint=high => class=unacc","0.0625","1.42809917355372"
"136","class=unacc => buying=vhigh,maint=high","0.0625","1.42809917355372"
"137","buying=vhigh,maint=vhigh => class=unacc","0.0625","1.42809917355372"
"138","class=unacc => buying=vhigh,maint=vhigh","0.0625","1.42809917355372"
"139","class=unacc,safety=high => buying=vhigh","0.056712962962963","1.41516245487365"
"140","buying=vhigh => class=unacc,safety=high","0.056712962962963","1.41516245487365"
"141","class=unacc,safety=high => maint=vhigh","0.056712962962963","1.41516245487365"
"142","maint=vhigh => class=unacc,safety=high","0.056712962962963","1.41516245487365"
"143","persons=more,safety=high => class=acc","0.0555555555555556","2.25"
"144","class=acc => persons=more,safety=high","0.0555555555555556","2.25"
"145","class=acc,persons=more => safety=high","0.0555555555555556","1.54838709677419"
"146","safety=high => class=acc,persons=more","0.0555555555555556","1.54838709677419"
"147","class=acc,safety=high => persons=more","0.0555555555555556","1.41176470588235"
"148","persons=more => class=acc,safety=high","0.0555555555555556","1.41176470588235"
"149","persons=4,safety=med => class=acc","0.0520833333333333","2.109375"
"150","class=acc => persons=4,safety=med","0.0520833333333333","2.109375"
"151","persons=more,safety=med => class=acc","0.0520833333333333","2.109375"
"152","class=acc => persons=more,safety=med","0.0520833333333333","2.109375"
"153","class=acc,safety=med => persons=4","0.0520833333333333","1.5"
"154","persons=4 => class=acc,safety=med","0.0520833333333333","1.5"
"155","class=acc,safety=med => persons=more","0.0520833333333333","1.5"
"156","persons=more => class=acc,safety=med","0.0520833333333333","1.5"
"157","class=acc,persons=more => safety=med","0.0520833333333333","1.45161290322581"
"158","safety=med => class=acc,persons=more","0.0520833333333333","1.45161290322581"
